site_id,fold,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,6,enhanced_peak_priority,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.5,1.0,0.6666666666666666,0.0,3.0,0.8,2.0,13.0,334.0319999999999
1. Load Profile (With Solar Installed) SoL,6,ridge_only,249.53426183033108,295.2903365215971,-249.53426183033108,43.37997380701855,53.349634061899685,39.863784761016,45.324687109991885,31.050508572197383,1.0,1.0,1.0,0.0,3.0,0.2,12.0,9.0,326.14487353808283
1. Load Profile (With Solar Installed) SoL,6,seasonal,495.6270833333333,598.7447795527462,-495.2104166666666,86.16167469486798,120.32477738004926,68.41407539312489,91.90249878016058,62.959493118059534,0.0,0.0,0.0,5.0,6.0,0.0,45.0,24.0,865.6
1. Load Profile (With Solar Installed) SoL,7,direct_hgb,44.955603666018135,64.78160951757202,3.5019943413743846,5.958165988262061,6.599747260579873,6.904228620219342,8.92308671040937,6.8624586353360195,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.421210174559974
1. Load Profile (With Solar Installed) SoL,7,enhanced,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,1.0,1.0,1.0,0.0,1.0,0.8,3.0,2.0,32.04504358991994
1. Load Profile (With Solar Installed) SoL,7,enhanced_late_peak_uplift,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,1.0,1.0,1.0,0.0,1.0,0.8,3.0,2.0,32.04504358991994
1. Load Profile (With Solar Installed) SoL,7,enhanced_md_calibrated,147.86735825205915,202.95764585398646,-146.1717195395675,19.597518281742936,28.559698545996742,21.708953440908722,27.955598602477476,21.499750620125685,1.0,1.0,1.0,0.0,1.0,0.8,4.0,3.0,50.79209715236561
1. Load Profile (With Solar Installed) SoL,7,enhanced_peak_confirmed,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.5,1.0,0.6666666666666666,0.0,6.0,0.6,2.0,2.0,32.04504358991994
1. Load Profile (With Solar Installed) SoL,7,enhanced_peak_priority,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.5,1.0,0.6666666666666666,0.0,5.0,0.6,2.0,2.0,32.04504358991994
1. Load Profile (With Solar Installed) SoL,7,ridge_only,141.42927805786314,190.98357116340642,-137.38739836062308,18.74425089537353,26.324323943772594,20.67854104360089,26.30627701975295,20.231310504598138,1.0,1.0,1.0,0.0,1.0,0.8,4.0,2.0,8.628452328313529
1. Load Profile (With Solar Installed) SoL,7,seasonal,204.85208333333335,303.94902910137193,-200.9104166666667,27.149957202418758,49.37364062501499,30.73234935126537,41.86625745197961,32.197990370908045,1.0,1.0,1.0,0.0,3.0,0.4,2.0,9.0,52.0
1. Load Profile (With Solar Installed) SoL,8,direct_hgb,52.178659155407196,81.22650074534201,28.98211442092722,6.75251581100414,7.334093646200879,8.08870499890455,11.134544310533517,8.523242470654985,0.5,0.6,0.5454545454545454,2.0,1.0,0.4,12.0,11.0,15.387917768546572
1. Load Profile (With Solar Installed) SoL,8,enhanced,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.4,0.4,0.4000000000000001,3.0,0.0,0.4,14.0,9.0,53.08887847857204
1. Load Profile (With Solar Installed) SoL,8,enhanced_late_peak_uplift,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.4,0.4,0.4000000000000001,3.0,0.0,0.4,14.0,9.0,53.08887847857204
1. Load Profile (With Solar Installed) SoL,8,enhanced_md_calibrated,57.01532095276798,64.75452692530305,-47.41430617323751,7.378435215369936,7.728856305687986,7.414640578938257,8.876562978108712,6.794808701500845,0.4,0.4,0.4000000000000001,3.0,0.0,0.4,10.0,9.0,36.87609798225935
1. Load Profile (With Solar Installed) SoL,8,enhanced_peak_confirmed,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.625,1.0,0.7692307692307693,0.0,0.0,0.4,27.0,9.0,53.08887847857204
1. Load Profile (With Solar Installed) SoL,8,enhanced_peak_priority,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.5,1.0,0.6666666666666666,0.0,0.0,0.4,6.0,9.0,53.08887847857204
1. Load Profile (With Solar Installed) SoL,8,ridge_only,63.171342938235114,71.63824820362998,-44.55612324329909,8.175094931480105,8.568947845931026,8.316312348691364,9.820184812012334,7.517129926928645,0.4,0.4,0.4000000000000001,3.0,0.0,0.4,7.0,9.0,15.397615207039962
1. Load Profile (With Solar Installed) SoL,8,seasonal,59.91458333333333,67.2961443298698,-51.60208333333335,7.753632956781969,8.256873221978449,7.876417038812946,9.224968379694284,7.061505176271753,0.4,0.4,0.4000000000000001,3.0,1.0,0.4,18.0,11.0,58.799999999999955
