policy,alert_quantile,match_window_intervals,score_smoothing_window,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,site_id,fold,cutoff
current_20pct,0.8,2.0,1.0,157.18258059622028,197.02548010238175,48.59970746038573,13.66631743912651,13.761446720110118,15.028640932373058,16.984955181239805,13.855518994541614,0.3,0.6,0.4,2.0,6.0,0.2,11.0,10.0,34.29860676021917,2. Load Profile (No Solar) E,4,2592
strict_15pct,0.85,2.0,1.0,293.9136385742764,321.5643490075415,293.9136385742764,36.97317569925641,30.686925507400435,37.49171224988668,40.70434797563817,34.35516549225871,0.5,0.6666666666666666,0.5714285714285715,2.0,2.0,0.16666666666666666,17.0,9.0,400.3237060378767,2. Load Profile (No Solar) E,5,2640
current_20pct,0.8,2.0,1.0,293.9136385742764,321.5643490075415,293.9136385742764,36.97317569925641,30.686925507400435,37.49171224988668,40.70434797563817,34.35516549225871,0.4,0.6666666666666666,0.5,2.0,2.0,0.16666666666666666,17.0,9.0,400.3237060378767,2. Load Profile (No Solar) E,5,2640
catch_more_25pct,0.75,2.0,1.0,293.9136385742764,321.5643490075415,293.9136385742764,36.97317569925641,30.686925507400435,37.49171224988668,40.70434797563817,34.35516549225871,0.3333333333333333,0.6666666666666666,0.4444444444444444,2.0,2.0,0.16666666666666666,17.0,9.0,400.3237060378767,2. Load Profile (No Solar) E,5,2640
smoothed_20pct,0.8,2.0,3.0,293.9136385742764,321.5643490075415,293.9136385742764,36.97317569925641,30.686925507400435,37.49171224988668,40.70434797563817,34.35516549225871,0.3,0.5,0.37499999999999994,3.0,2.0,0.3333333333333333,16.0,9.0,400.3237060378767,2. Load Profile (No Solar) E,5,2640
catch_more_25pct,0.75,2.0,1.0,124.0847894954275,151.3385894849435,94.65932946702806,17.801099542067963,17.033976389930984,19.425325412508943,22.437151888056857,17.023463384133127,0.3333333333333333,0.8,0.47058823529411764,1.0,3.0,0.2,22.0,11.0,48.22498565687238,2. Load Profile (No Solar) E,6,2688
strict_15pct,0.85,2.0,1.0,124.0847894954275,151.3385894849435,94.65932946702806,17.801099542067963,17.033976389930984,19.425325412508943,22.437151888056857,17.023463384133127,0.375,0.6,0.4615384615384615,2.0,2.0,0.2,22.0,11.0,48.22498565687238,2. Load Profile (No Solar) E,6,2688
current_20pct,0.8,2.0,1.0,124.0847894954275,151.3385894849435,94.65932946702806,17.801099542067963,17.033976389930984,19.425325412508943,22.437151888056857,17.023463384133127,0.3,0.6,0.4,2.0,3.0,0.2,22.0,11.0,48.22498565687238,2. Load Profile (No Solar) E,6,2688
smoothed_20pct,0.8,2.0,3.0,124.0847894954275,151.3385894849435,94.65932946702806,17.801099542067963,17.033976389930984,19.425325412508943,22.437151888056857,17.023463384133127,0.3,0.6,0.4,2.0,1.0,0.4,15.0,11.0,48.22498565687238,2. Load Profile (No Solar) E,6,2688
catch_more_25pct,0.75,2.0,1.0,91.01833470188238,107.67463725263175,42.4666569836534,13.242240742271926,12.76848923462067,13.441315204999594,16.106901608471464,12.833687396022855,0.25,0.6,0.35294117647058826,2.0,9.0,0.2,40.0,23.0,41.13606495989484,2. Load Profile (No Solar) E,7,2736
